COGREG,RÉGION,POPULATION MUNICIPALE,PTOT
42,Alsace,1 843 053,1 877 271
72,Aquitaine,3 206 137,3 293 912
83,Auvergne,1 343 964,1 385 690
25,Basse-Normandie,1 470 880,1 515 129
26,Bourgogne,1 642 440,1 694 283
53,Bretagne,3 175 064,3 276 875
24,Centre,2 538 590,2 609 814
21,Champagne-Ardenne,1 337 953,1 376 019
94,Corse,305 674,310 827
43,Franche-Comté,1 168 208,1 204 634
23,Haute-Normandie,1 832 942,1 874 664
11,Ile-de-France,11 728 240,11 877 121
91,Languedoc-Roussillon,2 610 890,2 667 676
74,Limousin,741 785,763 969
41,Lorraine,2 350 112,2 405 353
73,Midi-Pyrénées,2 862 707,2 944 157
31,Nord - Pas-de-Calais,4 033 197,4 102 236
52,Pays de la Loire,3 539 048,3 642 762
22,Picardie,1 911 157,1 958 558
54,Poitou-Charentes,1 760 575,1 814 036
93,Provence-Alpes-Côte d’Azur,4 889 053,4 972 485
82,Rhône-Alpes,6 174 040,6 325 984
01,Guadeloupe,401 554,408 090
02,Martinique,396 404,402 499
03,Guyane,224 469,226 426
04,La Réunion,816 364,825 035
